https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1752278400000,2025-07-12 00:00:00,AAVE/USDT,297.22,306.31,292.91,301.87,20178298.74,67330.140014,10548327.05,35198.627201,156634,299.71
1752192000000,2025-07-11 00:00:00,AAVE/USDT,308.01,315.27,294.58,296.72,27082767.46,88093.270812,14275762.27,46433.852425,210952,307.48
1752105600000,2025-07-10 00:00:00,AAVE/USDT,301.3,312.54,292.14,308.33,23549438.43,78709.610333,12167946.96,40662.651075,184133,299.27
1752019200000,2025-07-09 00:00:00,AAVE/USDT,293.14,304.47,290.48,301.33,20808836.07,69856.380901,10790888.07,36224.313844,162557,297.9
1751932800000,2025-07-08 00:00:00,AAVE/USDT,283.25,293.93,279.37,292.94,16165720.53,56417.355818,8321152.68,29045.61429,126755,286.6
1751846400000,2025-07-07 00:00:00,AAVE/USDT,288.14,291.39,279.37,283.22,19619501.78,68644.920682,10119198.12,35404.363405,153818,285.84
1751760000000,2025-07-06 00:00:00,AAVE/USDT,273.48,291.55,271.38,287.68,12394801.2,44835.863093,6327279.55,22883.904342,97468,276.53
1751673600000,2025-07-05 00:00:00,AAVE/USDT,266.27,277.02,265.16,273.62,11006579.71,40730.601296,5520402.72,20427.429814,86733,270.25
1751587200000,2025-07-04 00:00:00,AAVE/USDT,279.61,283.18,258.86,266.19,17399722.25,64431.062381,8908569.02,32984.173104,135822,270.21
1751500800000,2025-07-03 00:00:00,AAVE/USDT,276.39,284.87,272.92,279.18,20590615.03,73798.430097,10758730.51,38560.757259,160609,279.03
1751414400000,2025-07-02 00:00:00,AAVE/USDT,260.14,283.25,257.45,276.31,17304510.57,64168.639758,8942046.98,33156.300256,135191,269.91
1751328000000,2025-07-01 00:00:00,AAVE/USDT,274.45,278.5,259.72,259.91,14329525.98,53404.931253,7379327.3,27502.981871,112296,268.38
