https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACM,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1714435200000,2024-04-30 00:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714431600000,2024-04-29 23:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714428000000,2024-04-29 22:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714424400000,2024-04-29 21:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714420800000,2024-04-29 20:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714417200000,2024-04-29 19:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714413600000,2024-04-29 18:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714410000000,2024-04-29 17:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714406400000,2024-04-29 16:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714402800000,2024-04-29 15:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714399200000,2024-04-29 14:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714395600000,2024-04-29 13:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714392000000,2024-04-29 12:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714388400000,2024-04-29 11:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714384800000,2024-04-29 10:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714381200000,2024-04-29 09:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714377600000,2024-04-29 08:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714374000000,2024-04-29 07:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1714370400000,2024-04-29 06:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
