https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751500800000,2025-07-03 00:00:00,ADA/USDT,0.5843,0.58789,0.58301,0.58704,437967.3236,747622.034,223342.3207,381226.3825,7474,0.58581
1751497200000,2025-07-02 23:00:00,ADA/USDT,0.59218,0.59282,0.58299,0.58414,1509674.7844,2570010.102,761839.1759,1296930.3698,25520,0.58742
1751493600000,2025-07-02 22:00:00,ADA/USDT,0.59513,0.59743,0.59216,0.5924,784371.8418,1319714.249,392440.0194,660252.1211,13400,0.59435
1751490000000,2025-07-02 21:00:00,ADA/USDT,0.59631,0.59835,0.5927,0.59555,567650.5248,952557.536,285664.4434,479368.2227,9745,0.59592
1751486400000,2025-07-02 20:00:00,ADA/USDT,0.59548,0.59897,0.59384,0.59597,730040.8438,1223579.2414,366137.1491,613704.2129,12302,0.59664
1751482800000,2025-07-02 19:00:00,ADA/USDT,0.59493,0.59798,0.59221,0.59552,883254.9726,1485910.0384,443704.6673,746430.1611,14953,0.59442
1751479200000,2025-07-02 18:00:00,ADA/USDT,0.59402,0.59718,0.59335,0.59497,368378.3902,618829.2186,179813.5664,302060.8907,6337,0.59528
1751475600000,2025-07-02 17:00:00,ADA/USDT,0.5948,0.59848,0.58894,0.5937,465647.6368,783388.3865,234630.5186,394706.196,7936,0.59441
1751472000000,2025-07-02 16:00:00,ADA/USDT,0.57754,0.59974,0.57752,0.5946,1442161.7453,2444864.1868,722004.9916,1223905.9429,24521,0.58991
1751468400000,2025-07-02 15:00:00,ADA/USDT,0.56906,0.5787,0.56891,0.57789,991919.5074,1729421.8015,506025.9234,882338.842,16687,0.57356
1751464800000,2025-07-02 14:00:00,ADA/USDT,0.5614,0.56935,0.56064,0.56935,631358.8267,1118478.2246,316840.8636,561302.4876,10893,0.56448
1751461200000,2025-07-02 13:00:00,ADA/USDT,0.55927,0.56359,0.55866,0.56128,658458.5842,1173803.4743,336438.9825,599768.389,11153,0.56096
1751457600000,2025-07-02 12:00:00,ADA/USDT,0.56108,0.56113,0.55691,0.55932,560571.5222,1003760.8872,285351.8496,510932.3982,9563,0.55847
1751454000000,2025-07-02 11:00:00,ADA/USDT,0.55991,0.56496,0.55937,0.56088,652778.0298,1160795.4405,326978.4382,581420.0607,11133,0.56235
1751450400000,2025-07-02 10:00:00,ADA/USDT,0.55727,0.56033,0.55613,0.55978,528262.4227,946159.8831,264932.6219,474534.3994,9040,0.55832
1751446800000,2025-07-02 09:00:00,ADA/USDT,0.55813,0.55918,0.55645,0.55728,538484.8549,965373.5928,273701.4507,490669.2105,9261,0.5578
1751443200000,2025-07-02 08:00:00,ADA/USDT,0.55688,0.56074,0.55667,0.55818,611407.4096,1094573.4732,304509.9624,545149.4,10605,0.55858
1751439600000,2025-07-02 07:00:00,ADA/USDT,0.55823,0.55849,0.55466,0.55667,566046.8474,1016453.152,288177.4219,517473.5363,9619,0.55688
1751436000000,2025-07-02 06:00:00,ADA/USDT,0.5543,0.55774,0.55366,0.55749,503321.5214,905804.4351,253131.6123,455536.0711,8694,0.55566
1751432400000,2025-07-02 05:00:00,ADA/USDT,0.55369,0.55508,0.55247,0.55459,430250.0255,776676.3741,216089.4085,390086.4647,7420,0.55396
1751428800000,2025-07-02 04:00:00,ADA/USDT,0.54835,0.55398,0.54827,0.55349,727775.8637,1321676.3408,367168.8318,666792.4326,12473,0.55064
1751425200000,2025-07-02 03:00:00,ADA/USDT,0.54505,0.54915,0.54474,0.5484,746409.648,1363634.7015,382975.2135,699652.3019,12718,0.54736
1751421600000,2025-07-02 02:00:00,ADA/USDT,0.54497,0.54547,0.5423,0.5452,418164.9088,768102.3005,211150.7164,387859.2115,7187,0.54441
1751418000000,2025-07-02 01:00:00,ADA/USDT,0.54147,0.54518,0.53859,0.54495,594110.4482,1095309.914,295489.4436,544781.5897,10127,0.54241
1751414400000,2025-07-02 00:00:00,ADA/USDT,0.54169,0.54505,0.54095,0.54152,913159.9431,1682163.048,446999.7684,823459.0973,15742,0.54285
1751410800000,2025-07-01 23:00:00,ADA/USDT,0.54041,0.5422,0.53866,0.54176,660121.3222,1221345.5195,336045.5317,621759.9761,11282,0.54048
1751407200000,2025-07-01 22:00:00,ADA/USDT,0.54205,0.54298,0.53964,0.54039,499439.6021,922596.212,245490.8107,453483.5202,8663,0.54134
1751403600000,2025-07-01 21:00:00,ADA/USDT,0.54159,0.54495,0.53993,0.54222,489226.2037,902204.7075,257628.3976,475167.4004,8138,0.54225
1751400000000,2025-07-01 20:00:00,ADA/USDT,0.53939,0.54313,0.53661,0.54179,468894.1538,868901.0918,232765.7338,431312.1939,8111,0.53964
1751396400000,2025-07-01 19:00:00,ADA/USDT,0.54083,0.54361,0.53817,0.5394,628652.7951,1161683.2977,316800.1078,585407.5553,10793,0.54115
1751392800000,2025-07-01 18:00:00,ADA/USDT,0.54569,0.54584,0.54,0.54098,593201.5673,1094201.8615,295131.0355,544397.1354,10107,0.54213
1751389200000,2025-07-01 17:00:00,ADA/USDT,0.55054,0.55264,0.54321,0.54603,651436.559,1191195.4132,328072.0567,599853.4383,11182,0.54688
1751385600000,2025-07-01 16:00:00,ADA/USDT,0.547,0.55498,0.54401,0.55088,661607.6697,1209712.6929,330322.8023,603990.5386,11160,0.54691
1751382000000,2025-07-01 15:00:00,ADA/USDT,0.54718,0.54967,0.54495,0.54698,439722.8549,803292.4223,219087.3762,400230.186,7516,0.5474
1751378400000,2025-07-01 14:00:00,ADA/USDT,0.55064,0.55466,0.54347,0.54735,717672.7371,1309474.8406,349586.2411,637854.7619,12336,0.54807
1751374800000,2025-07-01 13:00:00,ADA/USDT,0.55308,0.55437,0.54781,0.55049,526317.0485,954499.2856,269559.9605,488856.8546,9104,0.5514
1751371200000,2025-07-01 12:00:00,ADA/USDT,0.5604,0.5611,0.55145,0.5531,933977.1463,1680253.397,469440.0021,844503.0752,15946,0.55587
1751367600000,2025-07-01 11:00:00,ADA/USDT,0.56286,0.56361,0.55844,0.56057,925609.3316,1651607.7588,461034.5497,822656.4311,15751,0.56043
1751364000000,2025-07-01 10:00:00,ADA/USDT,0.56206,0.56408,0.56098,0.5631,401317.4042,713571.0571,205410.0268,365237.0466,6829,0.5624
1751360400000,2025-07-01 09:00:00,ADA/USDT,0.56203,0.56438,0.5614,0.56216,317521.1016,564325.1638,159581.5756,283618.6625,5416,0.56265
1751356800000,2025-07-01 08:00:00,ADA/USDT,0.56711,0.56728,0.56193,0.56206,317393.2825,562531.5947,154428.6559,273706.6032,5414,0.56422
1751353200000,2025-07-01 07:00:00,ADA/USDT,0.56277,0.56828,0.55847,0.56721,815260.6637,1446943.4191,409489.2103,726794.8565,13834,0.56345
1751349600000,2025-07-01 06:00:00,ADA/USDT,0.56284,0.56354,0.56106,0.56279,313577.909,557720.459,151597.3658,269623.4271,5278,0.56224
1751346000000,2025-07-01 05:00:00,ADA/USDT,0.56508,0.56616,0.56077,0.56325,537832.1012,955071.253,267316.4752,474716.5148,9225,0.56313
1751342400000,2025-07-01 04:00:00,ADA/USDT,0.56898,0.56908,0.56449,0.56518,575133.7966,1015066.9233,286121.0104,504979.5482,9752,0.56659
1751338800000,2025-07-01 03:00:00,ADA/USDT,0.56627,0.56947,0.56574,0.56903,256308.4338,451142.5453,123117.8701,216711.4712,4344,0.56813
1751335200000,2025-07-01 02:00:00,ADA/USDT,0.57194,0.57379,0.56488,0.56608,613393.219,1077534.3687,306311.0096,538079.4665,10477,0.56926
1751331600000,2025-07-01 01:00:00,ADA/USDT,0.57306,0.57664,0.57169,0.57191,329173.3605,573194.1654,163311.1732,284378.7108,5646,0.57428
1751328000000,2025-07-01 00:00:00,ADA/USDT,0.57243,0.57674,0.56962,0.57272,492966.189,860053.1383,247395.5879,431624.9294,8408,0.57318
