https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751500800000,2025-07-03 00:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751497200000,2025-07-02 23:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751493600000,2025-07-02 22:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751490000000,2025-07-02 21:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751486400000,2025-07-02 20:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751482800000,2025-07-02 19:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751479200000,2025-07-02 18:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751475600000,2025-07-02 17:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751472000000,2025-07-02 16:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751468400000,2025-07-02 15:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751464800000,2025-07-02 14:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751461200000,2025-07-02 13:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751457600000,2025-07-02 12:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751454000000,2025-07-02 11:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751450400000,2025-07-02 10:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751446800000,2025-07-02 09:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751443200000,2025-07-02 08:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751439600000,2025-07-02 07:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751436000000,2025-07-02 06:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751432400000,2025-07-02 05:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751428800000,2025-07-02 04:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751425200000,2025-07-02 03:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751421600000,2025-07-02 02:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751418000000,2025-07-02 01:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751414400000,2025-07-02 00:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751410800000,2025-07-01 23:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751407200000,2025-07-01 22:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751403600000,2025-07-01 21:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751400000000,2025-07-01 20:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751396400000,2025-07-01 19:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751392800000,2025-07-01 18:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
