https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1687651200000,2023-06-25 00:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687647600000,2023-06-24 23:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687644000000,2023-06-24 22:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687640400000,2023-06-24 21:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687636800000,2023-06-24 20:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687633200000,2023-06-24 19:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687629600000,2023-06-24 18:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687626000000,2023-06-24 17:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687622400000,2023-06-24 16:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687618800000,2023-06-24 15:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687615200000,2023-06-24 14:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687611600000,2023-06-24 13:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687608000000,2023-06-24 12:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687604400000,2023-06-24 11:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687600800000,2023-06-24 10:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687597200000,2023-06-24 09:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687593600000,2023-06-24 08:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687590000000,2023-06-24 07:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687586400000,2023-06-24 06:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687582800000,2023-06-24 05:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687579200000,2023-06-24 04:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687575600000,2023-06-24 03:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687572000000,2023-06-24 02:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687568400000,2023-06-24 01:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687564800000,2023-06-24 00:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687561200000,2023-06-23 23:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687557600000,2023-06-23 22:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687554000000,2023-06-23 21:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687550400000,2023-06-23 20:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687546800000,2023-06-23 19:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687543200000,2023-06-23 18:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687539600000,2023-06-23 17:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687536000000,2023-06-23 16:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687532400000,2023-06-23 15:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687528800000,2023-06-23 14:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687525200000,2023-06-23 13:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687521600000,2023-06-23 12:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687518000000,2023-06-23 11:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687514400000,2023-06-23 10:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687510800000,2023-06-23 09:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687507200000,2023-06-23 08:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687503600000,2023-06-23 07:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687500000000,2023-06-23 06:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687496400000,2023-06-23 05:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687492800000,2023-06-23 04:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687489200000,2023-06-23 03:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687485600000,2023-06-23 02:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687482000000,2023-06-23 01:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687478400000,2023-06-23 00:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687474800000,2023-06-22 23:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687471200000,2023-06-22 22:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687467600000,2023-06-22 21:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687464000000,2023-06-22 20:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687460400000,2023-06-22 19:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687456800000,2023-06-22 18:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687453200000,2023-06-22 17:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687449600000,2023-06-22 16:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687446000000,2023-06-22 15:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687442400000,2023-06-22 14:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687438800000,2023-06-22 13:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687435200000,2023-06-22 12:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687431600000,2023-06-22 11:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687428000000,2023-06-22 10:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687424400000,2023-06-22 09:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687420800000,2023-06-22 08:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687417200000,2023-06-22 07:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687413600000,2023-06-22 06:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687410000000,2023-06-22 05:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687406400000,2023-06-22 04:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687402800000,2023-06-22 03:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687399200000,2023-06-22 02:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687395600000,2023-06-22 01:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687392000000,2023-06-22 00:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687388400000,2023-06-21 23:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687384800000,2023-06-21 22:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687381200000,2023-06-21 21:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687377600000,2023-06-21 20:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687374000000,2023-06-21 19:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687370400000,2023-06-21 18:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687366800000,2023-06-21 17:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687363200000,2023-06-21 16:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687359600000,2023-06-21 15:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687356000000,2023-06-21 14:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687352400000,2023-06-21 13:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687348800000,2023-06-21 12:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687345200000,2023-06-21 11:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
1687341600000,2023-06-21 10:00:00,USDP/USDT,1,1,1,1,0,0,0,0,0,1
