https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,YFI/USDT,4813.27,4813.27,4799,4799,3.34,0.000696,2.33,0.000487,4,4803.29
1751241600000,2025-06-30 00:00:00,YFI/USDT,4961.02,4961.02,4500,4500,4.13,0.000898,0,0,2,4611.75
1751155200000,2025-06-29 00:00:00,YFI/USDT,4849.68,4849.68,4849.68,4849.68,0,0,0,0,0,4849.68
1751068800000,2025-06-28 00:00:00,YFI/USDT,4849.68,4849.68,4849.68,4849.68,0,0,0,0,0,4849.68
1750982400000,2025-06-27 00:00:00,YFI/USDT,4849.68,4849.68,4849.68,4849.68,1.17,0.000243,0.17,0.000036,2,4849.68
1750896000000,2025-06-26 00:00:00,YFI/USDT,5188.55,5243.61,4400.41,4400.41,47.22,0.00959,24.98,0.0048,7,4945.64
1750809600000,2025-06-25 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750723200000,2025-06-24 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750636800000,2025-06-23 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750550400000,2025-06-22 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750464000000,2025-06-21 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750377600000,2025-06-20 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750291200000,2025-06-19 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750204800000,2025-06-18 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750118400000,2025-06-17 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1750032000000,2025-06-16 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1749945600000,2025-06-15 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1749859200000,2025-06-14 00:00:00,YFI/USDT,5117.18,5117.18,5117.18,5117.18,0,0,0,0,0,5117.18
1749772800000,2025-06-13 00:00:00,YFI/USDT,5117.19,5117.19,5117.18,5117.18,8.69,0.0017,0,0,2,5117.18
1749686400000,2025-06-12 00:00:00,YFI/USDT,4921.2,4921.2,4921.2,4921.2,0,0,0,0,0,5595.19
1749600000000,2025-06-11 00:00:00,YFI/USDT,5601,5601.01,4921.2,4921.2,48.34,0.008642,48.34,0.008642,17,5595.19
1749513600000,2025-06-10 00:00:00,YFI/USDT,5346.74,5601,5346.74,5601,9.65,0.001773,3.64,0.00065,9,5450.59
1749427200000,2025-06-09 00:00:00,YFI/USDT,4988.18,4988.18,4500,4899,21.54,0.004501,7.52,0.001529,16,4795.53
1749340800000,2025-06-08 00:00:00,YFI/USDT,5200,5200,5200,5200,0,0,0,0,0,5200
1749254400000,2025-06-07 00:00:00,YFI/USDT,5200,5200,5200,5200,0,0,0,0,0,5200
1749168000000,2025-06-06 00:00:00,YFI/USDT,5200,5200,5200,5200,0,0,0,0,0,5200
1749081600000,2025-06-05 00:00:00,YFI/USDT,5200,5200,5200,5200,4.99,0.000961,0,0,1,5200
1748995200000,2025-06-04 00:00:00,YFI/USDT,5273.07,5273.07,5273.07,5273.07,24.29,0.004608,0,0,2,5273.07
1748908800000,2025-06-03 00:00:00,YFI/USDT,5273.06,5273.06,5273.06,5273.06,0.55,0.000106,0.55,0.000106,1,5273.06
1748822400000,2025-06-02 00:00:00,YFI/USDT,5000.58,5000.58,5000.58,5000.58,0,0,0,0,0,5000.58
1748736000000,2025-06-01 00:00:00,YFI/USDT,5000.58,5000.58,5000.58,5000.58,0,0,0,0,0,5000.58
